Transaction ID,Product name,Product ID,Quantity,Total amount,Sales Channel,Customer First Name,Customer Last Name,Customer Email,Series City,Created Date,Imported_File
TC6147,6x9 Product E Yangon,PA1645,2,4.6,CHin-store,Renee,Purcell,Renee.Purcell@example.com,Yangon,2024-03-20,DailySales_20242003_1004.csv
TC6148,6x9 Product C Tokyo,PA1453,5,16.5,CHweb,Lien,Davis,Lien.Davis@example.com,Tokyo,2024-03-20,DailySales_20242003_1004.csv
TC6149,5x7 Product E Hyderabad,PA975,2,5.6,CHmobile app,Mindy,Carr,Mindy.Carr@example.com,Hyderabad,2024-03-20,DailySales_20242003_1004.csv
TC6150,6x9 Product A Kawasaki,PA1333,6,22.200000000000003,CHmobile app,Leroy,Edwards,Leroy.Edwards@example.com,Kawasaki,2024-03-20,DailySales_20242003_1004.csv
TC6151,4x6 Product E Kuala Lumpur,PA307,3,4.800000000000001,CHmobile app,Mikel,Miller,Mikel.Miller@example.com,Kuala Lumpur,2024-03-20,DailySales_20242003_1004.csv
TC6152,6x11 Product C Guangzhou,PA1815,5,17.0,CHmobile app,Elaine,Sherman,Elaine.Sherman@example.com,Guangzhou,2024-03-20,DailySales_20242003_1004.csv
TC6153,6x9 Product C Kawasaki,PA1465,5,8.5,CHmobile app,Calvin,Proctor,Calvin.Proctor@example.com,Kawasaki,2024-03-20,DailySales_20242003_1004.csv
TC6154,6x11 Product C Busan,PA1808,3,9.3,CHmobile app,Michael,Wade,Michael.Wade@example.com,Busan,2024-03-20,DailySales_20242003_1004.csv
TC6155,5.5x8.5 Product D Ahmedabad,PA1242,3,8.399999999999999,CHweb,Beth,Miller,Beth.Miller@example.com,Ahmedabad,2024-03-20,DailySales_20242003_1004.csv
TC6156,5.5x8.5 Product A Manila,PA1034,2,7.0,CHin-store,Daniel,Jeffers,Daniel.Jeffers@example.com,Manila,2024-03-20,DailySales_20242003_1004.csv
TC6157,4.25x6 Product B Daegu,PA424,2,7.0,CHin-store,Reggie,Deer,Reggie.Deer@example.com,Daegu,2024-03-20,DailySales_20242003_1004.csv
TC6158,5.5x8.5 Product D Fukuoka,PA1193,5,16.0,CHweb,Denise,Small,Denise.Small@example.com,Fukuoka,2024-03-20,DailySales_20242003_1004.csv
TC6159,4x6 Product D Sydney,PA222,4,14.8,CHweb,Chad,Givens,Chad.Givens@example.com,Sydney,2024-03-20,DailySales_20242003_1004.csv
TC6160,4.25x6 Product E Yangon,PA655,1,3.1,CHweb,Cesar,Ehrhart,Cesar.Ehrhart@example.com,Yangon,2024-03-20,DailySales_20242003_1004.csv
TC6161,5x7 Product B Canberra,PA745,2,7.2,CHin-store,Tyler,Garcia,Tyler.Garcia@example.com,Canberra,2024-03-20,DailySales_20242003_1004.csv
TC6162,5.5x8.5 Product C Kyoto,PA1129,5,13.0,CHmobile app,Rene,Horwath,Rene.Horwath@example.com,Kyoto,2024-03-20,DailySales_20242003_1004.csv
TC6163,5.5x8.5 Product A Guangzhou,PA1023,6,15.0,CHmobile app,Jeremiah,Atkins,Jeremiah.Atkins@example.com,Guangzhou,2024-03-20,DailySales_20242003_1004.csv
TC6164,5x7 Product C Seoul,PA817,4,6.8,CHmobile app,Mark,George,Mark.George@example.com,Seoul,2024-03-20,DailySales_20242003_1004.csv
TC6165,4x6 Product E Chengdu,PA298,2,7.0,CHmobile app,Bonnie,Cox,Bonnie.Cox@example.com,Chengdu,2024-03-20,DailySales_20242003_1004.csv
TC6166,4.25x6 Product C Chengdu,PA496,6,22.8,CHweb,Beth,Atkins,Beth.Atkins@example.com,Chengdu,2024-03-20,DailySales_20242003_1004.csv
TC6167,4x6 Product B Canberra,PA85,3,8.7,CHmobile app,Van,Roldan,Van.Roldan@example.com,Canberra,2024-03-20,DailySales_20242003_1004.csv
TC6168,6x9 Product A Ho Chi Minh City,PA1366,5,12.0,CHweb,Kathy,Howell,Kathy.Howell@example.com,Ho Chi Minh City,2024-03-20,DailySales_20242003_1004.csv
TC6169,6x9 Product C Phnom Penh,PA1516,4,10.8,CHin-store,Francisco,Fujihara,Francisco.Fujihara@example.com,Phnom Penh,2024-03-20,DailySales_20242003_1004.csv
TC6170,4x6 Product E Hanoi,PA309,2,7.8,CHweb,Daniel,Hale,Daniel.Hale@example.com,Hanoi,2024-03-20,DailySales_20242003_1004.csv
TC6171,6x11 Product A Tianjin,PA1687,3,9.3,CHweb,Travis,Ruthledge,Travis.Ruthledge@example.com,Tianjin,2024-03-20,DailySales_20242003_1004.csv
TC6172,6x11 Product A Kolkata,PA1702,5,14.5,CHmobile app,Harry,Petter,Harry.Petter@example.com,Kolkata,2024-03-20,DailySales_20242003_1004.csv
TC6173,4x6 Product C Yangon,PA193,3,9.9,CHin-store,Mary,Watkins,Mary.Watkins@example.com,Yangon,2024-03-20,DailySales_20242003_1004.csv
TC6174,5x7 Product D Sagamihara,PA872,1,2.5,CHweb,Robert,Natal,Robert.Natal@example.com,Sagamihara,2024-03-20,DailySales_20242003_1004.csv
TC6175,4x6 Product E Taipei,PA303,2,8.4,CHmobile app,Maria,Manera,Maria.Manera@example.com,Taipei,2024-03-20,DailySales_20242003_1004.csv
TC6176,5x7 Product B Guangzhou,PA759,6,24.0,CHin-store,Martha,Moss,Martha.Moss@example.com,Guangzhou,2024-03-20,DailySales_20242003_1004.csv
TC6177,4x6 Product E Fukuoka,PA269,4,12.0,CHweb,Brian,Lawson,Brian.Lawson@example.com,Fukuoka,2024-03-20,DailySales_20242003_1004.csv
TC6178,5.5x8.5 Product B Guangzhou,PA1089,6,26.4,CHmobile app,Valerie,Ross,Valerie.Ross@example.com,Guangzhou,2024-03-20,DailySales_20242003_1004.csv
TC6179,4x6 Product B Chennai,PA119,1,1.6,CHweb,Nancy,Connell,Nancy.Connell@example.com,Chennai,2024-03-20,DailySales_20242003_1004.csv
TC6180,4x6 Product A Fukuoka,PA5,4,14.8,CHmobile app,Joseph,Shipley,Joseph.Shipley@example.com,Fukuoka,2024-03-20,DailySales_20242003_1004.csv
TC6181,4x6 Product A Kyoto,PA7,2,6.2,CHin-store,Joyce,Musick,Joyce.Musick@example.com,Kyoto,2024-03-20,DailySales_20242003_1004.csv
TC6182,4x6 Product E Vientiane,PA329,5,10.0,CHweb,Rebecca,England,Rebecca.England@example.com,Vientiane,2024-03-20,DailySales_20242003_1004.csv
TC6183,5.5x8.5 Product D Brisbane,PA1206,6,15.6,CHmobile app,Gene,Watts,Gene.Watts@example.com,Brisbane,2024-03-20,DailySales_20242003_1004.csv
TC6184,5.5x8.5 Product D Incheon,PA1215,4,12.0,CHweb,Lauren,Sandoval,Lauren.Sandoval@example.com,Incheon,2024-03-20,DailySales_20242003_1004.csv
TC6185,5x7 Product C Beijing,PA822,6,21.6,CHmobile app,William,Shaffer,William.Shaffer@example.com,Beijing,2024-03-20,DailySales_20242003_1004.csv
TC6186,5x7 Product D Tokyo,PA859,2,7.8,CHweb,Martha,Baker,Martha.Baker@example.com,Tokyo,2024-03-20,DailySales_20242003_1004.csv
TC6187,6x9 Product E Canberra,PA1603,4,10.0,CHweb,James,Roy,James.Roy@example.com,Canberra,2024-03-20,DailySales_20242003_1004.csv
TC6188,6x11 Product C Dhaka,PA1842,1,1.9,CHweb,Rosalie,Duffy,Rosalie.Duffy@example.com,Dhaka,2024-03-20,DailySales_20242003_1004.csv
TC6189,4.25x6 Product E Busan,PA620,1,4.4,CHweb,Faith,Marsh,Faith.Marsh@example.com,Busan,2024-03-20,DailySales_20242003_1004.csv
TC6190,6x11 Product E Daegu,PA1942,5,8.0,CHmobile app,Leslie,Gibbs,Leslie.Gibbs@example.com,Daegu,2024-03-20,DailySales_20242003_1004.csv
TC6191,5.5x8.5 Product D Sagamihara,PA1202,4,6.8,CHweb,Kimber,Lewis,Kimber.Lewis@example.com,Sagamihara,2024-03-20,DailySales_20242003_1004.csv
TC6192,6x9 Product E Pune,PA1639,4,11.6,CHweb,Ana,Eichelberger,Ana.Eichelberger@example.com,Pune,2024-03-20,DailySales_20242003_1004.csv
TC6193,4.25x6 Product E Okayama,PA609,6,24.6,CHmobile app,Rachel,Magness,Rachel.Magness@example.com,Okayama,2024-03-20,DailySales_20242003_1004.csv
TC6194,4.25x6 Product E Canberra,PA613,1,1.8,CHweb,Lois,Brown,Lois.Brown@example.com,Canberra,2024-03-20,DailySales_20242003_1004.csv
TC6195,4x6 Product C Singapore,PA179,1,3.1,CHweb,Marilyn,Lacroix,Marilyn.Lacroix@example.com,Singapore,2024-03-20,DailySales_20242003_1004.csv
TC6196,4.25x6 Product A Hong Kong,PA368,5,21.5,CHmobile app,Shari,Carothers,Shari.Carothers@example.com,Hong Kong,2024-03-20,DailySales_20242003_1004.csv
TC6197,6x11 Product C Seoul,PA1807,3,7.800000000000001,CHmobile app,Rebecca,Patterson,Rebecca.Patterson@example.com,Seoul,2024-03-20,DailySales_20242003_1004.csv
TC6198,4x6 Product D Ahmedabad,PA252,5,13.5,CHin-store,Willie,Hiestand,Willie.Hiestand@example.com,Ahmedabad,2024-03-20,DailySales_20242003_1004.csv
TC6199,6x9 Product A Fukuoka,PA1325,1,2.3,CHweb,Doris,Goins,Doris.Goins@example.com,Fukuoka,2024-03-20,DailySales_20242003_1004.csv
TC6200,4.25x6 Product B Seoul,PA421,4,11.2,CHmobile app,Carey,Brown,Carey.Brown@example.com,Seoul,2024-03-20,DailySales_20242003_1004.csv
TC6201,4x6 Product A Kitakyushu,PA12,1,4.3,CHin-store,Thelma,Moody,Thelma.Moody@example.com,Kitakyushu,2024-03-20,DailySales_20242003_1004.csv
TC6202,6x11 Product B Sendai,PA1724,4,11.6,CHmobile app,Loreta,Linker,Loreta.Linker@example.com,Sendai,2024-03-20,DailySales_20242003_1004.csv
TC6203,5.5x8.5 Product B Sagamihara,PA1070,1,3.7,CHin-store,Billy,Shaw,Billy.Shaw@example.com,Sagamihara,2024-03-20,DailySales_20242003_1004.csv
TC6204,4.25x6 Product A Jakarta,PA372,1,2.8,CHmobile app,Jeffrey,Watts,Jeffrey.Watts@example.com,Jakarta,2024-03-20,DailySales_20242003_1004.csv
TC6205,6x11 Product A Ulaanbaatar,PA1716,4,6.0,CHmobile app,Shannon,Davis,Shannon.Davis@example.com,Ulaanbaatar,2024-03-20,DailySales_20242003_1004.csv
TC6206,6x9 Product A Guangzhou,PA1353,2,4.0,CHmobile app,Mary,Courtney,Mary.Courtney@example.com,Guangzhou,2024-03-20,DailySales_20242003_1004.csv
TC6207,6x9 Product A Bangkok,PA1361,4,17.2,CHweb,Mary,Stanley,Mary.Stanley@example.com,Bangkok,2024-03-20,DailySales_20242003_1004.csv
TC6208,5.5x8.5 Product B Mumbai,PA1104,1,3.3,CHweb,Robert,Henderson,Robert.Henderson@example.com,Mumbai,2024-03-20,DailySales_20242003_1004.csv
TC6209,6x11 Product C Phnom Penh,PA1846,3,6.9,CHin-store,Cynthia,Smith,Cynthia.Smith@example.com,Phnom Penh,2024-03-20,DailySales_20242003_1004.csv
TC6210,6x11 Product E Melbourne,PA1936,4,16.0,CHweb,Cory,Gayhart,Cory.Gayhart@example.com,Melbourne,2024-03-20,DailySales_20242003_1004.csv
TC6211,6x11 Product C Vientiane,PA1847,1,3.9,CHmobile app,Harold,Fredrick,Harold.Fredrick@example.com,Vientiane,2024-03-20,DailySales_20242003_1004.csv
TC6212,4.25x6 Product A Darwin,PA350,4,9.6,CHmobile app,Antonette,Sherman,Antonette.Sherman@example.com,Darwin,2024-03-20,DailySales_20242003_1004.csv
TC6213,5.5x8.5 Product B Sapporo,PA1060,3,7.5,CHweb,Ann,Decker,Ann.Decker@example.com,Sapporo,2024-03-20,DailySales_20242003_1004.csv
TC6214,5.5x8.5 Product E Colombo,PA1317,2,6.4,CHin-store,Randy,Hannah,Randy.Hannah@example.com,Colombo,2024-03-20,DailySales_20242003_1004.csv
TC6215,4.25x6 Product B Islamabad,PA455,3,6.6000000000000005,CHmobile app,Lashunda,Shannon,Lashunda.Shannon@example.com,Islamabad,2024-03-20,DailySales_20242003_1004.csv
TC6216,4.25x6 Product E Naha,PA610,6,15.6,CHmobile app,Francis,Allen,Francis.Allen@example.com,Naha,2024-03-20,DailySales_20242003_1004.csv
TC6217,5x7 Product C Pune,PA847,6,12.0,CHmobile app,Georgia,Alconcel,Georgia.Alconcel@example.com,Pune,2024-03-20,DailySales_20242003_1004.csv
TC6218,6x9 Product A Lahore,PA1378,5,13.5,CHweb,Melissa,Gaddy,Melissa.Gaddy@example.com,Lahore,2024-03-20,DailySales_20242003_1004.csv
TC6219,5x7 Product C Jakarta,PA834,5,17.0,CHweb,Leo,Stefanatos,Leo.Stefanatos@example.com,Jakarta,2024-03-20,DailySales_20242003_1004.csv
TC6220,4.25x6 Product C Okayama,PA477,1,3.9,CHmobile app,Heather,Phillips,Heather.Phillips@example.com,Okayama,2024-03-20,DailySales_20242003_1004.csv
TC6221,4.25x6 Product A Busan,PA356,2,8.6,CHweb,Marvin,Young,Marvin.Young@example.com,Busan,2024-03-20,DailySales_20242003_1004.csv
TC6222,4x6 Product D Canberra,PA217,5,15.0,CHmobile app,Nichole,Moore,Nichole.Moore@example.com,Canberra,2024-03-20,DailySales_20242003_1004.csv
TC6223,5x7 Product A Hyderabad,PA711,2,7.6,CHweb,Manuel,Destephen,Manuel.Destephen@example.com,Hyderabad,2024-03-20,DailySales_20242003_1004.csv
TC6224,5.5x8.5 Product B Wuhan,PA1091,2,8.4,CHmobile app,Frances,Hammer,Frances.Hammer@example.com,Wuhan,2024-03-20,DailySales_20242003_1004.csv
TC6225,4.25x6 Product C Fukuoka,PA467,4,11.6,CHweb,Bobby,Sloan,Bobby.Sloan@example.com,Fukuoka,2024-03-20,DailySales_20242003_1004.csv
TC6226,5.5x8.5 Product B Ulaanbaatar,PA1122,3,6.9,CHmobile app,Eric,Erlandson,Eric.Erlandson@example.com,Ulaanbaatar,2024-03-20,DailySales_20242003_1004.csv
TC6227,6x11 Product E Brisbane,PA1932,2,3.2,CHin-store,Marcie,Kunkle,Marcie.Kunkle@example.com,Brisbane,2024-03-20,DailySales_20242003_1004.csv
TC6228,5x7 Product B Shenzhen,PA758,1,4.4,CHweb,Jeremy,Ayres,Jeremy.Ayres@example.com,Shenzhen,2024-03-20,DailySales_20242003_1004.csv
TC6229,5x7 Product D Hong Kong,PA896,1,2.0,CHweb,Lynn,Brownfield,Lynn.Brownfield@example.com,Hong Kong,2024-03-20,DailySales_20242003_1004.csv
TC6230,5x7 Product E Pune,PA979,3,8.100000000000001,CHweb,Edward,Boutin,Edward.Boutin@example.com,Pune,2024-03-20,DailySales_20242003_1004.csv
TC6231,6x9 Product D Kuala Lumpur,PA1561,6,18.6,CHweb,Michelle,Ferguson,Michelle.Ferguson@example.com,Kuala Lumpur,2024-03-20,DailySales_20242003_1004.csv
TC6232,5x7 Product E Ahmedabad,PA978,4,15.2,CHmobile app,Joseph,Mcgowan,Joseph.Mcgowan@example.com,Ahmedabad,2024-03-20,DailySales_20242003_1004.csv
TC6233,6x9 Product A Darwin,PA1340,6,18.0,CHmobile app,Greg,Erickson,Greg.Erickson@example.com,Darwin,2024-03-20,DailySales_20242003_1004.csv
TC6234,5.5x8.5 Product A Guangzhou,PA1023,1,2.5,CHweb,Dewayne,Echols,Dewayne.Echols@example.com,Guangzhou,2024-03-20,DailySales_20242003_1004.csv
TC6235,4.25x6 Product C Taipei,PA501,6,13.8,CHin-store,Louise,Frazier,Louise.Frazier@example.com,Taipei,2024-03-20,DailySales_20242003_1004.csv
TC6236,6x11 Product C Yangon,PA1843,4,9.6,CHweb,Melissa,Sinka,Melissa.Sinka@example.com,Yangon,2024-03-20,DailySales_20242003_1004.csv
TC6237,4x6 Product C Hanoi,PA177,2,7.0,CHmobile app,Linda,Williams,Linda.Williams@example.com,Hanoi,2024-03-20,DailySales_20242003_1004.csv
TC6238,5.5x8.5 Product A Bangkok,PA1031,2,4.8,CHmobile app,William,Figueroa,William.Figueroa@example.com,Bangkok,2024-03-20,DailySales_20242003_1004.csv
TC6239,6x11 Product E Chongqing,PA1950,6,24.6,CHweb,Tracy,Beal,Tracy.Beal@example.com,Chongqing,2024-03-20,DailySales_20242003_1004.csv
TC6240,6x11 Product C Kolkata,PA1834,6,9.0,CHmobile app,Anthony,Koziel,Anthony.Koziel@example.com,Kolkata,2024-03-20,DailySales_20242003_1004.csv
TC6241,6x11 Product C Hobart,PA1803,3,9.9,CHweb,Leslie,Smith,Leslie.Smith@example.com,Hobart,2024-03-20,DailySales_20242003_1004.csv
TC6242,6x9 Product B Manila,PA1430,6,12.6,CHmobile app,Carolyn,Gibbs,Carolyn.Gibbs@example.com,Manila,2024-03-20,DailySales_20242003_1004.csv
TC6243,5x7 Product B Kyoto,PA733,3,6.300000000000001,CHmobile app,James,Dias,James.Dias@example.com,Kyoto,2024-03-20,DailySales_20242003_1004.csv
TC6244,6x9 Product B Ahmedabad,PA1440,5,17.5,CHmobile app,Tammy,Shaw,Tammy.Shaw@example.com,Ahmedabad,2024-03-20,DailySales_20242003_1004.csv
TC6245,6x9 Product D Shanghai,PA1549,3,5.1,CHmobile app,Jessie,Ford,Jessie.Ford@example.com,Shanghai,2024-03-20,DailySales_20242003_1004.csv
TC6246,6x11 Product E Ahmedabad,PA1968,6,25.200000000000003,CHmobile app,Aaron,Stallworth,Aaron.Stallworth@example.com,Ahmedabad,2024-03-20,DailySales_20242003_1004.csv
TC6247,4.25x6 Product B Sendai,PA404,4,6.0,CHmobile app,Micah,Juarez,Micah.Juarez@example.com,Sendai,2024-03-20,DailySales_20242003_1004.csv
TC6248,4.25x6 Product B Osaka,PA398,1,3.8,CHweb,Elmo,Fryer,Elmo.Fryer@example.com,Osaka,2024-03-20,DailySales_20242003_1004.csv
TC6249,6x9 Product C Kobe,PA1458,5,17.0,CHweb,Renee,Coleman,Renee.Coleman@example.com,Kobe,2024-03-20,DailySales_20242003_1004.csv
TC6250,4.25x6 Product B Mumbai,PA444,3,4.800000000000001,CHweb,Gregory,Fink,Gregory.Fink@example.com,Mumbai,2024-03-20,DailySales_20242003_1004.csv
TC6251,5x7 Product D Incheon,PA885,3,5.4,CHweb,Stacia,Hinojosa,Stacia.Hinojosa@example.com,Incheon,2024-03-20,DailySales_20242003_1004.csv
TC6252,5x7 Product A Islamabad,PA719,3,4.800000000000001,CHmobile app,Alishia,Hinojosa,Alishia.Hinojosa@example.com,Islamabad,2024-03-20,DailySales_20242003_1004.csv
TC6253,5.5x8.5 Product E Dhaka,PA1314,1,2.5,CHmobile app,Nathan,Garrett,Nathan.Garrett@example.com,Dhaka,2024-03-20,DailySales_20242003_1004.csv
TC6254,6x11 Product B Busan,PA1742,3,6.300000000000001,CHmobile app,Curtis,Martinez,Curtis.Martinez@example.com,Busan,2024-03-20,DailySales_20242003_1004.csv
TC6255,6x9 Product E Kuala Lumpur,PA1627,1,2.6,CHweb,Lisa,Warmbier,Lisa.Warmbier@example.com,Kuala Lumpur,2024-03-20,DailySales_20242003_1004.csv
TC6256,4.25x6 Product E Dhaka,PA654,1,3.7,CHweb,Glen,Guzman,Glen.Guzman@example.com,Dhaka,2024-03-20,DailySales_20242003_1004.csv
TC6257,4.25x6 Product C Ho Chi Minh City,PA508,5,14.0,CHmobile app,Krystyna,Miller,Krystyna.Miller@example.com,Ho Chi Minh City,2024-03-20,DailySales_20242003_1004.csv
TC6258,4x6 Product D Ulaanbaatar,PA264,1,3.5,CHweb,Daniel,Taylor,Daniel.Taylor@example.com,Ulaanbaatar,2024-03-20,DailySales_20242003_1004.csv
TC6259,6x11 Product E Mumbai,PA1962,1,1.9,CHmobile app,Barbara,Ayon,Barbara.Ayon@example.com,Mumbai,2024-03-20,DailySales_20242003_1004.csv
TC6260,4.25x6 Product B Dhaka,PA456,1,2.8,CHmobile app,Catherine,Nichols,Catherine.Nichols@example.com,Dhaka,2024-03-20,DailySales_20242003_1004.csv
TC6261,6x9 Product A Busan,PA1346,5,12.0,CHmobile app,Faith,White,Faith.White@example.com,Busan,2024-03-20,DailySales_20242003_1004.csv
TC6262,4.25x6 Product A Seoul,PA355,3,8.100000000000001,CHweb,Arthur,Montano,Arthur.Montano@example.com,Seoul,2024-03-20,DailySales_20242003_1004.csv
TC6263,5x7 Product A Dalian,PA689,1,3.9,CHin-store,George,Sires,George.Sires@example.com,Dalian,2024-03-20,DailySales_20242003_1004.csv
TC6264,4x6 Product C Sendai,PA140,3,11.4,CHmobile app,Robert,Kay,Robert.Kay@example.com,Sendai,2024-03-20,DailySales_20242003_1004.csv
TC6265,5x7 Product A Jakarta,PA702,4,11.2,CHmobile app,Bridget,Ware,Bridget.Ware@example.com,Jakarta,2024-03-20,DailySales_20242003_1004.csv
TC6266,6x9 Product E Guangzhou,PA1617,4,7.2,CHweb,Susan,Small,Susan.Small@example.com,Guangzhou,2024-03-20,DailySales_20242003_1004.csv
TC6267,5.5x8.5 Product B Taipei,PA1095,2,3.0,CHmobile app,Bruce,Porterfield,Bruce.Porterfield@example.com,Taipei,2024-03-20,DailySales_20242003_1004.csv
TC6268,4.25x6 Product E Shanghai,PA625,5,13.5,CHin-store,Billy,Eichelberger,Billy.Eichelberger@example.com,Shanghai,2024-03-20,DailySales_20242003_1004.csv
TC6269,6x9 Product B Brisbane,PA1404,5,14.5,CHmobile app,Robert,Williams,Robert.Williams@example.com,Brisbane,2024-03-20,DailySales_20242003_1004.csv
TC6270,6x9 Product B Hong Kong,PA1424,6,24.6,CHmobile app,Sonia,Davis,Sonia.Davis@example.com,Hong Kong,2024-03-20,DailySales_20242003_1004.csv
TC6271,6x9 Product C Ulaanbaatar,PA1518,3,7.800000000000001,CHin-store,Joel,Goldberg,Joel.Goldberg@example.com,Ulaanbaatar,2024-03-20,DailySales_20242003_1004.csv
