Transaction ID,Product name,Product ID,Quantity,Total amount,Sales Channel,Customer First Name,Customer Last Name,Customer Email,Series City,Created Date
TC13408,5x7 Product B Okayama,PA741,4,6.0,CHweb,Elizabeth,Mark,Elizabeth.Mark@example.com,Okayama,2024-04-11
TC13409,6x11 Product A Lahore,PA1708,4,9.2,CHweb,Stephen,Murtagh,Stephen.Murtagh@example.com,Lahore,2024-04-11
TC13410,5.5x8.5 Product B Saitama,PA1066,6,16.799999999999997,CHweb,Ida,Ginder,Ida.Ginder@example.com,Saitama,2024-04-11
TC13411,5x7 Product D Naha,PA874,3,11.100000000000001,CHweb,Marjorie,Hillman,Marjorie.Hillman@example.com,Naha,2024-04-11
TC13412,5.5x8.5 Product D Hobart,PA1209,6,17.4,CHweb,Robert,Reynolds,Robert.Reynolds@example.com,Hobart,2024-04-11
TC13413,4x6 Product D Kaohsiung,PA238,5,22.0,CHmobile app,Arthur,Knox,Arthur.Knox@example.com,Kaohsiung,2024-04-11
TC13414,5.5x8.5 Product A Kyoto,PA997,1,2.6,CHweb,Evelyn,Borden,Evelyn.Borden@example.com,Kyoto,2024-04-11
TC13415,5.5x8.5 Product B Sagamihara,PA1070,4,10.4,CHmobile app,Howard,Truocchio,Howard.Truocchio@example.com,Sagamihara,2024-04-11
TC13416,5.5x8.5 Product E Incheon,PA1281,6,21.0,CHin-store,Johnnie,Sampson,Johnnie.Sampson@example.com,Incheon,2024-04-11
TC13417,5x7 Product C Mumbai,PA840,6,14.399999999999999,CHin-store,Melissa,Norman,Melissa.Norman@example.com,Mumbai,2024-04-11
TC13418,5.5x8.5 Product C Incheon,PA1149,6,20.4,CHweb,Kevin,Bridgeman,Kevin.Bridgeman@example.com,Incheon,2024-04-11
TC13419,6x11 Product D Hiroshima,PA1857,3,8.7,CHmobile app,Francis,Thomas,Francis.Thomas@example.com,Hiroshima,2024-04-11
TC13420,6x9 Product B Delhi,PA1435,2,4.6,CHmobile app,Annie,Rau,Annie.Rau@example.com,Delhi,2024-04-11
TC13421,6x9 Product C Canberra,PA1471,2,8.0,CHmobile app,Robert,Karam,Robert.Karam@example.com,Canberra,2024-04-11
TC13422,4.25x6 Product C Sapporo,PA466,6,15.0,CHmobile app,Linda,Poppel,Linda.Poppel@example.com,Sapporo,2024-04-11
TC13423,4x6 Product E Lahore,PA322,1,1.8,CHweb,Pat,Williams,Pat.Williams@example.com,Lahore,2024-04-11
TC13424,5.5x8.5 Product C Beijing,PA1152,3,7.199999999999999,CHmobile app,Charles,King,Charles.King@example.com,Beijing,2024-04-11
TC13425,6x9 Product A Ho Chi Minh City,PA1366,4,7.6,CHmobile app,Cecelia,Bynum,Cecelia.Bynum@example.com,Ho Chi Minh City,2024-04-11
TC13426,6x11 Product D Brisbane,PA1866,4,6.0,CHweb,Alice,Kelso,Alice.Kelso@example.com,Brisbane,2024-04-11
TC13427,5x7 Product E Kuala Lumpur,PA967,2,5.8,CHweb,Evelyn,Glover,Evelyn.Glover@example.com,Kuala Lumpur,2024-04-11
TC13428,4x6 Product C Incheon,PA159,2,4.4,CHin-store,Jessie,Kerr,Jessie.Kerr@example.com,Incheon,2024-04-11
TC13429,6x9 Product E Brisbane,PA1602,3,12.600000000000001,CHweb,Marta,Henderson,Marta.Henderson@example.com,Brisbane,2024-04-11
TC13430,5.5x8.5 Product A Busan,PA1016,4,12.4,CHweb,Daniel,Oakes,Daniel.Oakes@example.com,Busan,2024-04-11
TC13431,6x11 Product A Nagoya,PA1653,4,6.4,CHmobile app,Tasia,Montgomery,Tasia.Montgomery@example.com,Nagoya,2024-04-11
TC13432,5.5x8.5 Product B Sagamihara,PA1070,3,7.800000000000001,CHmobile app,Bertha,Champagne,Bertha.Champagne@example.com,Sagamihara,2024-04-11
TC13433,6x11 Product A Melbourne,PA1672,3,5.4,CHmobile app,Wayne,Pearson,Wayne.Pearson@example.com,Melbourne,2024-04-11
TC13434,5x7 Product D Kaohsiung,PA898,2,7.4,CHin-store,Mary,Curry,Mary.Curry@example.com,Kaohsiung,2024-04-11
TC13435,5x7 Product C Islamabad,PA851,3,7.800000000000001,CHmobile app,Charlie,Bashore,Charlie.Bashore@example.com,Islamabad,2024-04-11
TC13436,5x7 Product E Kathmandu,PA986,1,3.3,CHweb,Judy,Luciano,Judy.Luciano@example.com,Kathmandu,2024-04-11
TC13437,5x7 Product A Saitama,PA670,5,20.0,CHmobile app,Brenda,Daniel,Brenda.Daniel@example.com,Saitama,2024-04-11
TC13438,5.5x8.5 Product B Chennai,PA1109,5,7.5,CHmobile app,Randall,Bruff,Randall.Bruff@example.com,Chennai,2024-04-11
TC13439,5.5x8.5 Product A Osaka,PA992,4,8.0,CHweb,Willie,Lugo,Willie.Lugo@example.com,Osaka,2024-04-11
TC13440,6x11 Product A Fukuoka,PA1655,6,15.600000000000001,CHmobile app,Michael,Brock,Michael.Brock@example.com,Fukuoka,2024-04-11
TC13441,6x9 Product D Fukuoka,PA1523,1,4.0,CHweb,Robert,Morris,Robert.Morris@example.com,Fukuoka,2024-04-11
TC13442,4.25x6 Product D Mumbai,PA576,4,10.4,CHweb,John,Woodward,John.Woodward@example.com,Mumbai,2024-04-11
TC13443,4.25x6 Product E Shenzhen,PA626,6,23.4,CHweb,Carolyn,Robles,Carolyn.Robles@example.com,Shenzhen,2024-04-11
TC13444,5.5x8.5 Product B Beijing,PA1086,1,4.3,CHweb,Audrey,French,Audrey.French@example.com,Beijing,2024-04-11
TC13445,4x6 Product E Shenzhen,PA296,2,8.6,CHweb,Brian,Grimes,Brian.Grimes@example.com,Shenzhen,2024-04-11
TC13446,5.5x8.5 Product C Delhi,PA1171,2,6.2,CHmobile app,Thelma,Cuppernell,Thelma.Cuppernell@example.com,Delhi,2024-04-11
TC13447,5.5x8.5 Product B Chiba,PA1067,6,12.600000000000001,CHweb,Cassie,Maxie,Cassie.Maxie@example.com,Chiba,2024-04-11
TC13448,6x9 Product E Chennai,PA1637,2,6.8,CHmobile app,Harry,Goode,Harry.Goode@example.com,Chennai,2024-04-11
TC13449,4.25x6 Product D Guangzhou,PA561,5,8.0,CHweb,Ryan,Bodak,Ryan.Bodak@example.com,Guangzhou,2024-04-11
TC13450,6x11 Product D Chongqing,PA1884,6,20.4,CHweb,Jason,Hunking,Jason.Hunking@example.com,Chongqing,2024-04-11
TC13451,4x6 Product C Nagoya,PA135,2,4.2,CHmobile app,Glen,Potts,Glen.Potts@example.com,Nagoya,2024-04-11
TC13452,5x7 Product B Mumbai,PA774,6,12.0,CHin-store,James,Dillehay,James.Dillehay@example.com,Mumbai,2024-04-11
TC13453,5.5x8.5 Product D Beijing,PA1218,6,24.0,CHweb,Charles,Smith,Charles.Smith@example.com,Beijing,2024-04-11
TC13454,6x11 Product C Okayama,PA1797,3,8.100000000000001,CHweb,June,Mapston,June.Mapston@example.com,Okayama,2024-04-11
TC13455,6x11 Product D Seoul,PA1873,6,20.4,CHweb,Stephanie,Mayer,Stephanie.Mayer@example.com,Seoul,2024-04-11
TC13456,4x6 Product C Beijing,PA162,1,1.5,CHmobile app,Victor,Roth,Victor.Roth@example.com,Beijing,2024-04-11
TC13457,4.25x6 Product A Beijing,PA360,5,22.0,CHmobile app,Cecelia,Daking,Cecelia.Daking@example.com,Beijing,2024-04-11
TC13458,5.5x8.5 Product B Hong Kong,PA1094,5,12.5,CHweb,Rocky,Morrow,Rocky.Morrow@example.com,Hong Kong,2024-04-11
TC13459,4.25x6 Product D Phnom Penh,PA592,2,7.0,CHmobile app,John,Gomez,John.Gomez@example.com,Phnom Penh,2024-04-11
TC13460,4.25x6 Product B Chengdu,PA430,1,3.9,CHweb,Natalie,Stewart,Natalie.Stewart@example.com,Chengdu,2024-04-11
TC13461,4.25x6 Product A Hyderabad,PA381,3,6.8999999999999995,CHweb,Riley,Macaraeg,Riley.Macaraeg@example.com,Hyderabad,2024-04-11
TC13462,6x9 Product E Saitama,PA1594,3,11.7,CHweb,Tod,Hamilton,Tod.Hamilton@example.com,Saitama,2024-04-11
TC13463,6x11 Product B Chengdu,PA1750,5,8.5,CHmobile app,Timothy,Jones,Timothy.Jones@example.com,Chengdu,2024-04-11
TC13464,5.5x8.5 Product B Chiba,PA1067,3,6.300000000000001,CHmobile app,Luther,Lay,Luther.Lay@example.com,Chiba,2024-04-11
TC13465,6x9 Product C Yangon,PA1513,3,7.199999999999999,CHweb,Robert,Conner,Robert.Conner@example.com,Yangon,2024-04-11
TC13466,6x9 Product C Hobart,PA1473,4,13.6,CHmobile app,Peter,Clay,Peter.Clay@example.com,Hobart,2024-04-11
TC13467,5.5x8.5 Product B Singapore,PA1103,2,7.2,CHmobile app,Teresa,Thomas,Teresa.Thomas@example.com,Singapore,2024-04-11
TC13468,6x11 Product C Fukuoka,PA1787,4,10.4,CHmobile app,Fletcher,Hill,Fletcher.Hill@example.com,Fukuoka,2024-04-11
TC13469,5.5x8.5 Product C Canberra,PA1141,2,8.6,CHweb,Gordon,Clark,Gordon.Clark@example.com,Canberra,2024-04-11
TC13470,5x7 Product A Kitakyushu,PA672,2,4.8,CHweb,Victoria,Bieker,Victoria.Bieker@example.com,Kitakyushu,2024-04-11
TC13471,4x6 Product A Daegu,PA28,1,2.9,CHweb,Barbara,Conzemius,Barbara.Conzemius@example.com,Daegu,2024-04-11
TC13472,4x6 Product B Kuala Lumpur,PA109,2,6.2,CHin-store,Margaret,Douglas,Margaret.Douglas@example.com,Kuala Lumpur,2024-04-11
TC13473,4x6 Product B Perth,PA89,2,7.8,CHin-store,Mary,Gilmore,Mary.Gilmore@example.com,Perth,2024-04-11
TC13474,4.25x6 Product E Lahore,PA652,5,21.0,CHweb,Ronald,Avalos,Ronald.Avalos@example.com,Lahore,2024-04-11
TC13475,6x9 Product B Lahore,PA1444,4,10.0,CHmobile app,Robert,Bachand,Robert.Bachand@example.com,Lahore,2024-04-11
TC13476,6x9 Product E Busan,PA1610,1,3.8,CHweb,Glen,Allen,Glen.Allen@example.com,Busan,2024-04-11
TC13477,5x7 Product E Hyderabad,PA975,5,16.0,CHmobile app,Lorraine,Midgette,Lorraine.Midgette@example.com,Hyderabad,2024-04-11
TC13478,6x9 Product E Darwin,PA1604,2,5.0,CHmobile app,Anthony,Rau,Anthony.Rau@example.com,Darwin,2024-04-11
TC13479,5x7 Product C Jakarta,PA834,3,5.699999999999999,CHmobile app,Mary,Winbush,Mary.Winbush@example.com,Jakarta,2024-04-11
TC13480,4x6 Product D Kathmandu,PA260,4,11.2,CHmobile app,Winnifred,Pinera,Winnifred.Pinera@example.com,Kathmandu,2024-04-11
TC13481,6x9 Product B Phnom Penh,PA1450,6,26.400000000000002,CHweb,Douglas,Collins,Douglas.Collins@example.com,Phnom Penh,2024-04-11
TC13482,4.25x6 Product B Kitakyushu,PA408,1,2.9,CHin-store,Harry,Fraley,Harry.Fraley@example.com,Kitakyushu,2024-04-11
TC13483,4x6 Product D Lahore,PA256,5,15.5,CHmobile app,Freddie,Honeywell,Freddie.Honeywell@example.com,Lahore,2024-04-11
TC13484,5.5x8.5 Product D Ho Chi Minh City,PA1234,2,3.6,CHweb,Ronald,Christian,Ronald.Christian@example.com,Ho Chi Minh City,2024-04-11
TC13485,5x7 Product C Sapporo,PA796,2,3.0,CHweb,Patricia,Montano,Patricia.Montano@example.com,Sapporo,2024-04-11
TC13486,5x7 Product E Kathmandu,PA986,4,13.2,CHweb,Danny,Keith,Danny.Keith@example.com,Kathmandu,2024-04-11
TC13487,5.5x8.5 Product B Chengdu,PA1090,1,2.9,CHmobile app,Johnny,French,Johnny.French@example.com,Chengdu,2024-04-11
TC13488,6x9 Product B Phnom Penh,PA1450,2,8.8,CHmobile app,Vincent,Mann,Vincent.Mann@example.com,Phnom Penh,2024-04-11
TC13489,4x6 Product D Beijing,PA228,2,7.6,CHmobile app,Raelene,Clark,Raelene.Clark@example.com,Beijing,2024-04-11
TC13490,4.25x6 Product B Kyoto,PA403,6,22.200000000000003,CHweb,Caron,Hemphill,Caron.Hemphill@example.com,Kyoto,2024-04-11
TC13491,5x7 Product A Manila,PA704,4,11.2,CHweb,Bridgette,Ford,Bridgette.Ford@example.com,Manila,2024-04-11
TC13492,5.5x8.5 Product A Naha,PA1006,1,1.8,CHweb,Melvin,Lederman,Melvin.Lederman@example.com,Naha,2024-04-11
TC13493,4.25x6 Product A Wuhan,PA365,1,2.7,CHweb,Cynthia,Hollins,Cynthia.Hollins@example.com,Wuhan,2024-04-11
TC13494,4x6 Product C Sagamihara,PA146,6,26.400000000000002,CHweb,Sidney,Wolf,Sidney.Wolf@example.com,Sagamihara,2024-04-11
TC13495,4.25x6 Product C Dhaka,PA522,1,3.9,CHin-store,Toni,Cochran,Toni.Cochran@example.com,Dhaka,2024-04-11
TC13496,4x6 Product E Nagoya,PA267,3,12.299999999999999,CHweb,Laura,Williams,Laura.Williams@example.com,Nagoya,2024-04-11
TC13497,5x7 Product C Jakarta,PA834,5,9.5,CHmobile app,Nicole,Campbell,Nicole.Campbell@example.com,Jakarta,2024-04-11
TC13498,5.5x8.5 Product E Beijing,PA1284,5,14.5,CHweb,Christopher,Davila,Christopher.Davila@example.com,Beijing,2024-04-11
TC13499,4x6 Product B Kathmandu,PA128,5,16.5,CHin-store,David,Holland,David.Holland@example.com,Kathmandu,2024-04-11
TC13500,4x6 Product B Kobe,PA72,5,11.5,CHin-store,Karen,Sturtevant,Karen.Sturtevant@example.com,Kobe,2024-04-11
TC13501,5x7 Product D Kobe,PA864,1,1.5,CHweb,Shelley,King,Shelley.King@example.com,Kobe,2024-04-11
TC13502,4.25x6 Product A Mumbai,PA378,5,15.0,CHweb,Mathew,Hoppes,Mathew.Hoppes@example.com,Mumbai,2024-04-11
TC13503,5.5x8.5 Product C Adelaide,PA1139,1,2.1,CHweb,Charles,Hasan,Charles.Hasan@example.com,Adelaide,2024-04-11
TC13504,5.5x8.5 Product E Islamabad,PA1313,2,7.4,CHmobile app,James,Sargent,James.Sargent@example.com,Islamabad,2024-04-11
TC13505,4.25x6 Product D Naha,PA544,5,15.5,CHin-store,Frank,Powers,Frank.Powers@example.com,Naha,2024-04-11
TC13506,6x9 Product C Adelaide,PA1469,5,22.0,CHweb,Heather,David,Heather.David@example.com,Adelaide,2024-04-11
TC13507,5x7 Product D Ho Chi Minh City,PA904,1,2.5,CHweb,Saundra,Johnson,Saundra.Johnson@example.com,Ho Chi Minh City,2024-04-11
